Date,FR,CH
1/1/14,21.58,19.22
4/1/14,26.78,17.99
7/1/14,20.59,9.75
10/1/14,4.3,2.34
1/1/15,-33.83,-0.29
4/1/15,-31.78,-14.94
7/1/15,-6.76,-14
10/1/15,1.61,-7.41
1/1/16,5.39,-2.78
4/1/16,1.13,1.97
7/1/16,-8.76,1.23
10/1/16,-3.04,0.2
1/1/17,16.01,8.26
4/1/17,18.29,5.22
7/1/17,10.39,8.99
10/1/17,3.15,15.23
1/1/18,12.19,21.03
4/1/18,-2.13,18.93
7/1/18,-2.78,15.41
10/1/18,3.26,7.47
1/1/19,4.18,12.11
4/1/19,6.5,14.37
7/1/19,7.8,8.17
10/1/19,-0.58,1.94
1/1/20,17.34,12.57
4/1/20,-44.52,-40.27
7/1/20,21.79,12.8
10/1/20,27.03,7.6
1/1/21,-19.23,14.34
4/1/21,12.54,30.08
7/1/21,15.91,22.18
10/1/21,7.5,16.63
1/1/22,14.69,14.43
4/1/22,-3.02,7.43
