"","date","region","value"
"1",2014-01-01,"CH",-10.72
"2",2014-02-01,"CH",12.78
"3",2014-03-01,"CH",25.87
"4",2014-04-01,"CH",23.62
"5",2014-05-01,"CH",21.62
"6",2014-06-01,"CH",18.8
"7",2014-07-01,"CH",13.31
"8",2014-08-01,"CH",11.44
"9",2014-09-01,"CH",8.79
"10",2014-10-01,"CH",15.42
"11",2014-11-01,"CH",17.58
"12",2014-12-01,"CH",1.48
"13",2015-01-01,"CH",-9.34
"14",2015-02-01,"CH",-6.41
"15",2015-03-01,"CH",5.8
"16",2015-04-01,"CH",5.28
"17",2015-05-01,"CH",-1.88
"18",2015-06-01,"CH",-7.11
"19",2015-07-01,"CH",-18.22
"20",2015-08-01,"CH",-10.65
"21",2015-09-01,"CH",-3.79
"22",2015-10-01,"CH",10.59
"23",2015-11-01,"CH",2.32
"24",2015-12-01,"CH",-7.41
"25",2016-01-01,"CH",-22.6
"26",2016-02-01,"CH",-1.46
"27",2016-03-01,"CH",14.43
"28",2016-04-01,"CH",6.64
"29",2016-05-01,"CH",0.54
"30",2016-06-01,"CH",-5.92
"31",2016-07-01,"CH",-9.13
"32",2016-08-01,"CH",-2.47
"33",2016-09-01,"CH",10.41
"34",2016-10-01,"CH",21.9
"35",2016-11-01,"CH",15.01
"36",2016-12-01,"CH",7.24
"37",2017-01-01,"CH",-18.44
"38",2017-02-01,"CH",3.53
"39",2017-03-01,"CH",15.5
"40",2017-04-01,"CH",6.24
"41",2017-05-01,"CH",6.46
"42",2017-06-01,"CH",-3.27
"43",2017-07-01,"CH",-0.31
"44",2017-08-01,"CH",-3.75
"45",2017-09-01,"CH",13.51
"46",2017-10-01,"CH",17.93
"47",2017-11-01,"CH",21.13
"48",2017-12-01,"CH",4.22
"49",2018-01-01,"CH",-13.88
"50",2018-02-01,"CH",9.42
"51",2018-03-01,"CH",22.45
"52",2018-04-01,"CH",12.96
"53",2018-05-01,"CH",14.53
"54",2018-06-01,"CH",6.32
"55",2018-07-01,"CH",4.64
"56",2018-08-01,"CH",15.42
"57",2018-09-01,"CH",26.04
"58",2018-10-01,"CH",24.54
"59",2018-11-01,"CH",25.89
"60",2018-12-01,"CH",6.66
"61",2019-01-01,"CH",-18.7
"62",2019-02-01,"CH",8.4
